X;Y;SJOID;SNAMN;HARO;KOMMUNNAMN;LANSNAMN;NAME;MEDDJ;MAXDJ;VOLYM;Area_HA;Utpl Kandaröding;Antal (minst);Antal rom (minst);Antal 1959;Stadium 1959;Härst. 1959;Antal 1960;Stadium 1960;Härst. 1960;Antal 1961;Stadium 1961;Härst. 1961;Antal 1962;Stadium 1962;Härst. 1962;Antal 1963;Stadium 1963;Härst. 1963;Antal 1964;St. 1964;Här. 1964;Antal 1965;St. 1965;Här. 1965;Antal 1966;St. 1966;Här. 1966;Antal 1967;St. 1967;Här. 1967;Antal 1968;St. 1968;Här. 1968;Antal 1969;St. 1969;Här. 1969;Antal 1970;St. 1970;Här. 1970;Antal 1971;St. 1971;Här. 1971;Antal 1972;St. 1972;Här. 1972;Antal 1973;St. 1973;Här. 1973;Antal 1974;St. 1974;Här. 1974;Antal 1975;St. 1975;Här. 1975;Antal 1976;St. 1976;Här. 1976;Antal 1977;St. 1977;Här. 1977;Antal 1978;St. 1978;Här. 1978;Antal 1979;St. 1979;Här. 1979;Antal 1980;St. 1980;Här. 1980;Antal 1981;St. 1981;Här. 1981;Antal 1982;St. 1982;Här. 1982;Antal 1983;St. 1983;Här. 1983;Antal 1984;St. 1984;Här. 1984;Antal 1985;St. 1985;Här. 1985;Antal 1986;St. 1986;Här. 1986;Antal 1987;St. 1987;Här. 1987;Antal 1988;St. 1988;Här. 1988;Antal 1989;St. 1989;Här. 1989;Antal 1990;St. 1990;Här. 1990;Antal 1991;St. 1991;Här. 1991;Antal 1992;St. 1992;Här. 1992;Antal 1993;St. 1993;Här. 1993;Antal 1994;St. 1994;Här. 1994;Antal 1995;St. 1995;Här. 1995;Antal 1996;St. 1996;Här. 1996;Okänt år;Antal okänt år;St. okänt år;Här. Okänd;Källa
1483250;6837080;683708-148325;Lindstasjön;48000;Ljusdal;Gävleborgs län;Bottenhavet;0;27;0;415,96;Ja;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;?;;;;;;;;;;;;;;;;;;;;;;;;?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Lst X
1478000;6867030;686703-147800;Ängratörn;48000;Ljusdal;Gävleborgs län;Bottenhavet;0;46;0;117,5;Ja;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;?;;;?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Lst X
1494980;7054520;705452-149498;Görviksjön;38000;Strömsund;Jämtlands län;Bottenhavet;0;0;0;938,06;Ja;1000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1000;1;Lycksele;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Svärdsson och Nilsson 1984, LST Z, Lycksele fiskodling
1433700;7143240;714324-143370;Hetögeln;38000;Strömsund;Jämtlands län;Bottenhavet;19,4;58,9;463,5;2296,75;Ja;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ja;?;;Trol. Kvesjön Norge;Filipsson 1994:2
1529400;7080100;708010-152940;Jansjön;38000;Strömsund;Jämtlands län;Bottenhavet;7,8;28;36,3;320,64;Ja;3000;;;;;;;;;;;;;;;;;2000;+;;;;;;;;;;;;;;;;;;;;;;;;;;1000;2;VRF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nilsson 1968, Lst Z
1491180;7101370;710137-149118;Järilvattnet;38000;Strömsund;Jämtlands län;Bottenhavet;0;0;0;248,07;Ja;5000;;;;;;;;;;;;;;;;;?;;;;;;;;;;;;;;;;;;;;;;;;?;;;;;;;;;;;;;;;;;;;;;5000;+;Semlan;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Lst Z
1504020;7064900;706490-150402;Stamsele-Viken;38000;Strömsund;Jämtlands län;Bottenhavet;0;0;0;674,28;Ja;1000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1000;4,5;VRF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Lst Z
1513640;7106600;710660-151364;Stor-Skirsjön;38000;Strömsund;Jämtlands län;Bottenhavet;0;0;0;882,42;Ja;15000;;;;;;;;;;;;;;;;;15000;+;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nilsson 1968
1502220;7049290;704929-150222;Sörviksjön;38000;Strömsund;Jämtlands län;Bottenhavet;0;0;0;574,98;Ja;1000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1000;1;Lycksele;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Svärdsson och Nilsson 1984, Lst Z, Lycksele fiskodling
1509840;7117160;711716-150984;Tåsjön;38000;Strömsund;Jämtlands län;Bottenhavet;0;48,4;0;4503,64;Ja;6500;;;;;;;;3000;1;Wisconsin;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3500;2+;VRF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Svärdsson och Nilsson 1964, Nilsson 1968, LST Z
1417040;7024960;702496-141704;Alsensjön;40000;Krokom;Jämtlands län;Bottenhavet;0;33;0;2214,55;Ja;4500;;;;;;;;;;;;;;;;;4500;+;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nilsson 1968, Svärdsson och Nilsson 1984,
1513350;7004060;700406-151335;Gesunden;40000;Ragunda;Jämtlands län;Bottenhavet;16,8;42;433,2;2978;Ja;13000;;;;;;;;;;;;;;;;;10000;+;VRF;;;;;;;;;;;;;;;;2000;2;Lycksele;;;;;;;;;;;;;;;;;;;1000;2+;VRF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nilsson 1968, lst Z, lycksele fiskodling
1430050;7060030;706003-143005;Gysen;40000;Krokom;Jämtlands län;Bottenhavet;0;0;0;1189,56;Ja;10000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10000;+;Semlan;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;LST Z
1375190;7028080;702808-137519;Helgesjön;40000;Åre;Jämtlands län;Bottenhavet;0;0;0;622,16;Ja;0;;;;;;;;;;;;;;15600/2?;1;Finger lakes;;;;15600/2?;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nilsson 1968
1359280;7069070;706907-135928;Juvuln;40000;Åre;Jämtlands län;Bottenhavet;0;73;0;3756,85;Ja;3000;;;;;;;;;;;;;;;;;3000;+;VRF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nilsson 1968, lst Z
1378940;7033620;703362-137894;Kallsjön;40000;Åre;Jämtlands län;Bottenhavet;40,1;134;6140;15854,04;Ja;1347407;834000;?;;Lake Simeoe via dansk odlare;;;;4200;1+;Wisconsin;;;;6000;+;Finger lakes, Lake superior, Bonäshamn;25000;1;VRF;25000;+;VRF;25000;+;VRF;25000;+;VRF;;;;;;;20000;+;VRF;30650;+;VRF;500;2+;VRF;7300;+;VRF;3316;4, 3+, 4+, +;VRF;6996;3, +;VRF;2562;3;VRF;2942;3, 1+;VRF;;;;;;;;;;;;;891;3;VRF;;;;;;;;;;;;;95000;rom;VRF;207000;rom;VRF;100000;rom;VRF;100000;rom;VRF;;;;75000;rom;VRF;268400;rom+yngel;VRF;233300;yngel;VRF;6350;yngel;VRF;77000;rom;VRF;;;;;Svärdsson och Nilsson 1964, Nilsson 1968, Svärdsson och Miezis 1970, Lst Z
1424460;7049700;704970-142446;Landögssjön;40000;Krokom;Jämtlands län;Bottenhavet;0;79;0;4607,41;Ja;71130;;;;;;;;4600/3?; 1, 1+, +?;Wisconsin;;;;4600/3?; 1, 1+, +?;Finger lakes;;;;6000;+;VRF;4600/3?; 1, 1+, +?;Semlan +ev?;500;1+;Semlan;;;;;;;;;;;;;6000;2;VRF;2630;2+;VRF;6000;2, 2+;VRF;6000;2, 2+;VRF;6000;2, 2+;VRF;;;VRF;;;;;;;;;;;;;6000;2, 2+;VRF;;;;;;;;;;;;;6000;2;VRF;6000;90g;VRF;6000;88g;VRF;6000;2;VRF;6000;2;VRF;2000;126g;VRF;;;;;;;;;;;;;;;;;Svärdsson och Nilsson 1964, Nilsson 1968, Svärdsson och Miezis 1970,  Filipsson 1994, LST Z
1421740;7027280;702728-142174;Näldsjön;40000;Krokom;Jämtlands län;Bottenhavet;0;31;0;4180,37;Ja;25000;25000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;25000;Rom;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Lst Z
1464350;7085230;708523-146435;Rodtjärnen;40000;Krokom;Jämtlands län;Bottenhavet;0;0;0;4,69;Ja;2000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2000;+;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Lst Z
1553040;6980340;698034-155304;Stor-Gussjön;40000;Ragunda;Jämtlands län;Bottenhavet;7,8;21,7;43,6;570,87;Ja;0;;;;;;;;;;;;;;6000/2?;1, +?;Lake Superior;;;;6000/2?;1, +?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Svärdsson och Nilsson 1964, Nilsson 1968
1425340;7102790;710279-142534;Stor-Hasslingen;40000;Krokom;Jämtlands län;Bottenhavet;0;0;0;135,37;Ja;5000;;;;;;;;;;;;;;;;;5000;+;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nilsson 1968
1432550;7021720;702172-143255;Storsjön;40000;Krokom;Jämtlands län;Bottenhavet;17,3;74;8018;45633,28;Ja;283042;;;;;;;;;;;91;2+;Wisconsin, Bonäshamn;;;;1000;2;Spokane Wash, Porjus;;;;1500;1+;Semlan;2500;1, 1+;Semlan, Bonäshamn;1500;2, 2+;Semlan;420;2+;Porjus, Bonäshamn;1250;1+;Lycksele;9430;125g, 2+;Bonäshamn+Lycksele;9500;2+;Bonäshamn;7500;2. 2+;Bonäshamn;11130;1, 1+, 2, 2+, +;Bonäshamn, Semlan;14192;2, 1+, 2+, +;Bonäshamn, Semlan;7748;1+, 2+;Bonäshamn;13210;2, 2+;Bonäshamn;7540;100 g;Bonäshamn;7559;160g;Bonäshamn;7627;160g;Bonäshamn;7500;100g;Bonäshamn;7759;2, 2+, 1, 2;Bonäshamn;7500;125g;Bonäshamn;5493;100g;Bonäshamn;7500;80g;Bonäshamn;8025;130g;Bonäshamn;7500;2;Bonäshamn;8464;98g;Bonäshamn;8200;107g, 105g, 129g;Bonäshamn;8649;123g, 111g, 136g, 102g, 103g;Bonäshamn;7953;118g, 125g, 128g;Bonäshamn;7277;180g, 165g, 190g;Bonäshamn;6230;2;Bonäshamn;;;;;;;;;;1971-1981;81295;;;Svärdsson och Nilsson 1964, Nilsson 1968, Svärdsson och Miezis 1970,  Svärdsson och Nilsson 1984, Filipsson 1994, LST Z, lycksele fiskodling
1393910;7015990;701599-139391;Sällsjön;40000;Åre;Jämtlands län;Bottenhavet;0;25,3;0;467,15;Ja;3000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3000;1;Semlan;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Lst Z
1464370;7091770;709177-146437;Öjarssjön;40000;Strömsund;Jämtlands län;Bottenhavet;0;0;0;523,29;Ja;2000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2000;+;Semlan;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Lst Z
1513560;7002440;700244-151356;Öratjärnen;40000;Ragunda;Jämtlands län;Bottenhavet;0;0;0;7,77;Ja;2000;;2000;Yngel;HHS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Lst Z
1433080;7035260;703526-143308;Öster-Näversjön;40000;Krokom;Jämtlands län;Bottenhavet;0;0;0;322,52;Ja;0;;;;;;;;?;?;Lake Simeoe;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Svärdsson och Nilsson 1964, Nilsson 1968
1339660;7026790;698516-151440;Ansjön;42000;Bräcke;Jämtlands län;Bottenhavet;0;31,5;0;846,93;Ja;3500;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ja;3500;+;;Nilsson 1968
1341560;7035870;696314-139370;Flåsjön;42000;Berg;Jämtlands län;Bottenhavet;5,1;18;10,5;2258,7;Ja;2000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2000;2;Lycksele;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Lycksele fiskodling
1514400;6985160;692223-144650;Horten;42000;Berg;Jämtlands län;Bottenhavet;0;0;0;613,35;Ja;27400;;;;;;;;;;;;;;;;;15000;+;;12400;1;Galtström;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nilsson 1968, Lst Z
1393700;6963140;694848-142751;Hålen;42000;Berg;Jämtlands län;Bottenhavet;6,9;22,6;33,8;508,46;Ja;1000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1000;1;Galtström;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Svärdsson och Nilsson 1984, Lst Z
1446500;6922230;698282-151232;Mellansjön;42000;Bräcke;Jämtlands län;Bottenhavet;0;11,3;0;134,73;Ja;2500;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2500;2;Ovansjö;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Lst Z
1427510;6948480;696633-136939;Storsjön;42000;Berg;Jämtlands län;Bottenhavet;0;27;0;2768,59;Ja;6000;;;;;;;;;;;;;;;;;;;;;;;5000;1;;1000;2;Galtström;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nilsson 1968, Svärdsson och Miezis 1970
1512320;6982820;685934-141111;Orrmosjön;48000;Härjedalen;Jämtlands län;Bottenhavet;0;0;0;891,79;Ja;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Lst Z
1369390;6966330;756753-166138;Nakerjaure;1000;Kiruna;Norrbottens län;Bottenviken - Torneälven;0;0;0;647,84;Ja;1400;;;;;;;;;;;;;;;;;;;;;;;1400;1+;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nilsson 1968
1455680;6992000;753251-165378;Paittasjärvi;4000;Kiruna;Norrbottens län;Bottenviken;0;0;0;2984,69;Ja;5200;;;;;;;;;;;;;;;;;;;;;;;5200;1+;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nilsson 1968
1411110;6859340;748256-170610;Paukijärvi;4000;Gällivare;Norrbottens län;Bottenviken;0;0;0;488,46;Ja;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;?;;;Lst BD
1661380;7567530;750033-173866;Sattajärvi;4000;Kiruna;Norrbottens län;Bottenviken;1,2;2,1;1,32;125,39;Ja;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Svärdsson och Nilsson 1984,
1653780;7532510;747374-171309;Storsjön;4000;Gällivare;Norrbottens län;Bottenviken;0;0;0;376,31;Ja;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ja;?;;;Filipsson 1994, Lst BD
1706100;7482560;748373-168976;Tapmukjaure;4000;Gällivare;Norrbottens län;Bottenviken;0;0;0;144,98;Ja;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Svärdsson och Nilsson 1984,
1738660;7500330;748162-171329;Tjautjasjaure;4000;Gällivare;Norrbottens län;Bottenviken;0;0;0;367,92;Ja;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ja;?;;;Filipsson 1994, LSt BD
